image,resnet50_classe,auc_augmentation
ILSVRC2012_val_00000008.JPEG,bakery,86.5960464477539
ILSVRC2012_val_00000009.JPEG,mousetrap,97.12065887451172
ILSVRC2012_val_00000050.JPEG,butcher shop,59.482643127441406
ILSVRC2012_val_00000054.JPEG,handkerchief,89.86996459960938
ILSVRC2012_val_00000098.JPEG,dowitcher,93.22948455810548
ILSVRC2012_val_00000137.JPEG,joystick,96.9035415649414
ILSVRC2012_val_00000142.JPEG,sea urchin,96.39317321777344
ILSVRC2012_val_00000148.JPEG,oil filter,94.71143341064452
ILSVRC2012_val_00000160.JPEG,maze,95.6954116821289
ILSVRC2012_val_00000177.JPEG,red-backed sandpiper,97.52688598632812
ILSVRC2012_val_00000178.JPEG,Siberian husky,96.833740234375
ILSVRC2012_val_00000186.JPEG,snow leopard,43.302188873291016
ILSVRC2012_val_00000212.JPEG,violin,55.29297637939453
ILSVRC2012_val_00000219.JPEG,bookcase,95.1565170288086
ILSVRC2012_val_00000244.JPEG,harmonica,95.12340545654295
ILSVRC2012_val_00000338.JPEG,vestment,89.74727630615234
ILSVRC2012_val_00000353.JPEG,cassette,92.9569091796875
ILSVRC2012_val_00000385.JPEG,park bench,83.90477752685547
ILSVRC2012_val_00000419.JPEG,envelope,96.96969604492188
ILSVRC2012_val_00000437.JPEG,worm fence,94.25404357910156
ILSVRC2012_val_00000453.JPEG,rubber eraser,94.72154235839844
ILSVRC2012_val_00000462.JPEG,Japanese spaniel,97.5959930419922
ILSVRC2012_val_00000483.JPEG,beacon,92.69831085205078
ILSVRC2012_val_00000549.JPEG,bobsled,96.4490203857422
ILSVRC2012_val_00000644.JPEG,hare,19.330923080444336
ILSVRC2012_val_00000655.JPEG,wallaby,99.1525650024414
ILSVRC2012_val_00000668.JPEG,Chesapeake Bay retriever,85.55364227294922
ILSVRC2012_val_00000721.JPEG,ballpoint,48.62131118774414
ILSVRC2012_val_00000772.JPEG,mantis,91.3058853149414
ILSVRC2012_val_00000781.JPEG,conch,78.58887481689453
ILSVRC2012_val_00000799.JPEG,silky terrier,95.63908386230467
ILSVRC2012_val_00000809.JPEG,totem pole,97.79075622558594
ILSVRC2012_val_00000874.JPEG,tub,74.94928741455078
ILSVRC2012_val_00000882.JPEG,Tibetan terrier,54.61785125732422
ILSVRC2012_val_00000888.JPEG,kite,2.315213918685913
ILSVRC2012_val_00000900.JPEG,kimono,93.92845153808594
ILSVRC2012_val_00000907.JPEG,Shih-Tzu,6.9090256690979
ILSVRC2012_val_00000909.JPEG,bloodhound,19.957988739013672
ILSVRC2012_val_00000937.JPEG,hare,95.27146911621094
ILSVRC2012_val_00000945.JPEG,baboon,6.660207748413086
ILSVRC2012_val_00000951.JPEG,viaduct,88.07356262207031
ILSVRC2012_val_00000968.JPEG,plow,68.13890838623047
ILSVRC2012_val_00000971.JPEG,space bar,69.0124282836914
ILSVRC2012_val_00000993.JPEG,Siberian husky,97.55075073242188
ILSVRC2012_val_00001000.JPEG,china cabinet,83.74503326416016
ILSVRC2012_val_00001021.JPEG,totem pole,96.49030303955078
ILSVRC2012_val_00001079.JPEG,folding chair,98.86114501953124
ILSVRC2012_val_00001087.JPEG,quilt,79.7225570678711
ILSVRC2012_val_00001092.JPEG,macaque,81.59380340576172
ILSVRC2012_val_00001120.JPEG,buckeye,97.296630859375
ILSVRC2012_val_00001130.JPEG,yellow lady's slipper,91.36048889160156
ILSVRC2012_val_00001131.JPEG,spotted salamander,94.78062438964844
ILSVRC2012_val_00001133.JPEG,bicycle-built-for-two,94.9648895263672
ILSVRC2012_val_00001143.JPEG,police van,98.47195434570312
ILSVRC2012_val_00001146.JPEG,peacock,97.5
ILSVRC2012_val_00001152.JPEG,chow,94.11764526367188
ILSVRC2012_val_00001200.JPEG,bobsled,98.28519439697266
ILSVRC2012_val_00001206.JPEG,Scottish deerhound,76.88619995117188
ILSVRC2012_val_00001273.JPEG,stage,92.27425384521484
ILSVRC2012_val_00001290.JPEG,monarch,98.87638854980467
ILSVRC2012_val_00001296.JPEG,consomme,94.56157684326172
ILSVRC2012_val_00001309.JPEG,garter snake,94.04496002197266
ILSVRC2012_val_00001314.JPEG,Siberian husky,83.12616729736328
ILSVRC2012_val_00001327.JPEG,sandbar,98.09830474853516
ILSVRC2012_val_00001336.JPEG,bee eater,97.8122329711914
ILSVRC2012_val_00001352.JPEG,snow leopard,16.98385238647461
ILSVRC2012_val_00001360.JPEG,water buffalo,96.36691284179688
ILSVRC2012_val_00001389.JPEG,papillon,96.59677124023438
ILSVRC2012_val_00001392.JPEG,grocery store,93.20661926269533
ILSVRC2012_val_00001405.JPEG,bagel,93.5223159790039
ILSVRC2012_val_00001406.JPEG,orange,96.7499542236328
ILSVRC2012_val_00001421.JPEG,ground beetle,8.889513969421387
ILSVRC2012_val_00001423.JPEG,scale,45.69060897827149
ILSVRC2012_val_00001444.JPEG,valley,94.86874389648438
ILSVRC2012_val_00001492.JPEG,French horn,94.11228942871094
ILSVRC2012_val_00001495.JPEG,abaya,96.21552276611328
ILSVRC2012_val_00001504.JPEG,marmoset,93.99224853515624
ILSVRC2012_val_00001509.JPEG,black-footed ferret,95.0
ILSVRC2012_val_00001526.JPEG,monitor,98.08078002929688
ILSVRC2012_val_00001528.JPEG,cannon,98.86361694335938
ILSVRC2012_val_00001604.JPEG,barber chair,93.30265808105467
ILSVRC2012_val_00001623.JPEG,African chameleon,13.132625579833984
ILSVRC2012_val_00001666.JPEG,tape player,97.0145492553711
ILSVRC2012_val_00001668.JPEG,water bottle,98.0
ILSVRC2012_val_00001676.JPEG,hammerhead,95.43413543701172
ILSVRC2012_val_00001684.JPEG,German shepherd,35.33460235595703
ILSVRC2012_val_00001694.JPEG,entertainment center,85.10914611816406
ILSVRC2012_val_00001704.JPEG,washer,80.21029663085938
ILSVRC2012_val_00001749.JPEG,lorikeet,98.80572509765624
ILSVRC2012_val_00001764.JPEG,Lhasa,97.61904907226562
ILSVRC2012_val_00001768.JPEG,Pembroke,91.9559326171875
ILSVRC2012_val_00001782.JPEG,papillon,95.12564086914062
ILSVRC2012_val_00001797.JPEG,trailer truck,95.89361572265624
ILSVRC2012_val_00001800.JPEG,ruddy turnstone,88.40365600585938
ILSVRC2012_val_00001811.JPEG,studio couch,87.87545776367188
ILSVRC2012_val_00001819.JPEG,horned viper,97.20449829101562
ILSVRC2012_val_00001824.JPEG,guenon,88.88888549804688
ILSVRC2012_val_00001831.JPEG,iPod,93.78227996826172
ILSVRC2012_val_00001840.JPEG,harvester,98.2500228881836
ILSVRC2012_val_00001855.JPEG,folding chair,95.96304321289062
ILSVRC2012_val_00001881.JPEG,vending machine,95.1830596923828
ILSVRC2012_val_00001892.JPEG,motor scooter,90.83961486816406
ILSVRC2012_val_00001901.JPEG,wing,93.71713256835938
ILSVRC2012_val_00001936.JPEG,banana,98.70742797851562
ILSVRC2012_val_00001966.JPEG,plane,83.29438018798828
ILSVRC2012_val_00001983.JPEG,gondola,91.56974792480467
ILSVRC2012_val_00002004.JPEG,Eskimo dog,79.49083709716797
ILSVRC2012_val_00002016.JPEG,wardrobe,75.12044525146484
ILSVRC2012_val_00002020.JPEG,bonnet,40.01084899902344
ILSVRC2012_val_00002031.JPEG,bald eagle,98.7951889038086
ILSVRC2012_val_00002039.JPEG,washer,97.368408203125
ILSVRC2012_val_00002040.JPEG,clog,91.53060913085938
ILSVRC2012_val_00002082.JPEG,mountain tent,93.91473388671876
ILSVRC2012_val_00002113.JPEG,milk can,95.46083068847656
ILSVRC2012_val_00002115.JPEG,combination lock,79.05072021484375
ILSVRC2012_val_00002123.JPEG,mitten,90.90909576416016
ILSVRC2012_val_00002134.JPEG,plow,64.72381591796875
ILSVRC2012_val_00002199.JPEG,electric locomotive,90.654052734375
ILSVRC2012_val_00002203.JPEG,mailbox,94.71823120117188
ILSVRC2012_val_00002210.JPEG,garbage truck,94.1173324584961
ILSVRC2012_val_00002218.JPEG,guillotine,97.3454360961914
ILSVRC2012_val_00002255.JPEG,hamster,97.49124145507812
ILSVRC2012_val_00002288.JPEG,Blenheim spaniel,90.77448272705078
ILSVRC2012_val_00002291.JPEG,sweatshirt,48.42803192138672
ILSVRC2012_val_00002320.JPEG,Tibetan terrier,93.33332061767578
ILSVRC2012_val_00002321.JPEG,rapeseed,92.83861541748048
ILSVRC2012_val_00002323.JPEG,vizsla,87.07772827148438
ILSVRC2012_val_00002340.JPEG,snorkel,46.57434844970703
ILSVRC2012_val_00002361.JPEG,accordion,96.40299987792967
ILSVRC2012_val_00002368.JPEG,African chameleon,9.262330055236816
ILSVRC2012_val_00002376.JPEG,basketball,93.80342864990234
ILSVRC2012_val_00002408.JPEG,accordion,42.7009391784668
ILSVRC2012_val_00002470.JPEG,milk can,98.07495880126952
ILSVRC2012_val_00002507.JPEG,fountain pen,93.57608032226562
ILSVRC2012_val_00002531.JPEG,jinrikisha,93.36817932128906
ILSVRC2012_val_00002537.JPEG,hen-of-the-woods,71.09044647216797
ILSVRC2012_val_00002550.JPEG,Welsh springer spaniel,91.97838592529295
ILSVRC2012_val_00002611.JPEG,barbershop,97.88218688964844
ILSVRC2012_val_00002636.JPEG,Christmas stocking,97.59796142578124
ILSVRC2012_val_00002639.JPEG,maraca,46.99718475341797
ILSVRC2012_val_00002659.JPEG,Siamese cat,97.5926742553711
ILSVRC2012_val_00002666.JPEG,saltshaker,97.12831115722656
ILSVRC2012_val_00002681.JPEG,chickadee,89.80548858642578
ILSVRC2012_val_00002682.JPEG,sunglasses,95.57809448242188
ILSVRC2012_val_00002685.JPEG,maraca,96.16822814941406
ILSVRC2012_val_00002686.JPEG,meat loaf,95.64942932128906
ILSVRC2012_val_00002695.JPEG,totem pole,97.85389709472656
ILSVRC2012_val_00002709.JPEG,leatherback turtle,91.14312744140624
ILSVRC2012_val_00002767.JPEG,guenon,99.27535247802734
ILSVRC2012_val_00002776.JPEG,diamondback,85.6382064819336
ILSVRC2012_val_00002798.JPEG,crash helmet,97.00421142578124
ILSVRC2012_val_00002810.JPEG,microwave,97.17250061035156
ILSVRC2012_val_00002857.JPEG,siamang,77.94752502441406
ILSVRC2012_val_00002866.JPEG,chambered nautilus,97.9273681640625
ILSVRC2012_val_00002946.JPEG,snorkel,95.9086456298828
ILSVRC2012_val_00003057.JPEG,screw,96.66667938232422
ILSVRC2012_val_00003076.JPEG,volleyball,98.4942398071289
ILSVRC2012_val_00003089.JPEG,maillot,83.30306243896484
ILSVRC2012_val_00003094.JPEG,lionfish,81.43690490722656
ILSVRC2012_val_00003106.JPEG,scoreboard,97.43384552001952
ILSVRC2012_val_00003109.JPEG,coffee mug,3.297004222869873
ILSVRC2012_val_00003131.JPEG,coffee mug,96.90648651123048
ILSVRC2012_val_00003154.JPEG,vizsla,53.32143783569336
ILSVRC2012_val_00003168.JPEG,limpkin,97.67442321777344
ILSVRC2012_val_00003179.JPEG,miniature poodle,96.05955505371094
ILSVRC2012_val_00003196.JPEG,Shetland sheepdog,92.65763092041016
ILSVRC2012_val_00003207.JPEG,laptop,99.1664810180664
ILSVRC2012_val_00003223.JPEG,wild boar,97.70801544189452
ILSVRC2012_val_00003239.JPEG,damselfly,42.709720611572266
ILSVRC2012_val_00003259.JPEG,hummingbird,86.89783477783203
ILSVRC2012_val_00003264.JPEG,cup,92.30768585205078
ILSVRC2012_val_00003267.JPEG,Border terrier,84.78031921386719
ILSVRC2012_val_00003270.JPEG,mousetrap,9.600157737731934
ILSVRC2012_val_00003271.JPEG,toucan,96.48831939697266
ILSVRC2012_val_00003300.JPEG,iPod,95.23260498046876
ILSVRC2012_val_00003329.JPEG,French loaf,69.39198303222656
ILSVRC2012_val_00003332.JPEG,wreck,91.82122039794922
ILSVRC2012_val_00003349.JPEG,water buffalo,90.20661926269533
ILSVRC2012_val_00003362.JPEG,ice lolly,95.90664672851562
ILSVRC2012_val_00003364.JPEG,goose,97.67979431152344
ILSVRC2012_val_00003420.JPEG,maze,90.77098083496094
ILSVRC2012_val_00003445.JPEG,langur,94.11764526367188
ILSVRC2012_val_00003446.JPEG,binder,55.198116302490234
ILSVRC2012_val_00003538.JPEG,Indian elephant,75.77725982666016
ILSVRC2012_val_00003604.JPEG,snail,97.2780990600586
ILSVRC2012_val_00003639.JPEG,snorkel,97.03189086914062
ILSVRC2012_val_00003640.JPEG,balloon,97.14285278320312
ILSVRC2012_val_00003753.JPEG,spiny lobster,97.8052749633789
ILSVRC2012_val_00003762.JPEG,magpie,74.18199157714844
ILSVRC2012_val_00003771.JPEG,cardoon,97.29364013671876
ILSVRC2012_val_00003801.JPEG,water buffalo,81.57832336425781
ILSVRC2012_val_00003835.JPEG,bathtub,95.70729064941406
ILSVRC2012_val_00003848.JPEG,lotion,92.25499725341795
ILSVRC2012_val_00003870.JPEG,racket,94.521484375
ILSVRC2012_val_00003892.JPEG,great grey owl,79.44202423095703
ILSVRC2012_val_00003896.JPEG,sports car,98.31273651123048
ILSVRC2012_val_00003913.JPEG,jack-o'-lantern,94.24510192871094
ILSVRC2012_val_00003917.JPEG,sliding door,66.08226776123047
ILSVRC2012_val_00003923.JPEG,kimono,95.65216064453124
ILSVRC2012_val_00003939.JPEG,custard apple,98.1666259765625
ILSVRC2012_val_00003994.JPEG,beer glass,97.9591827392578
ILSVRC2012_val_00003998.JPEG,ashcan,97.051513671875
ILSVRC2012_val_00004031.JPEG,artichoke,98.52976989746094
ILSVRC2012_val_00004053.JPEG,Border terrier,85.40626525878906
